,code,model,version,sequentially,train_rmse,train_mae,train_acc,train_ms_rmse,train_ms_mae,train_ms_acc,test_rmse,test_mae,test_acc,likely_rmse,likely_mae,likely_acc,likely_range
0,BidirectionalLSTM_seq_true_ver_1,BidirectionalLSTM,1,True,6.66,4.75,0.9800000190734863,16.11,11.5,0.9700000286102295,29.87,26.27,1.1699999570846558,12.61,7.28,0.8999999761581421,365
1,BidirectionalLSTM_seq_true_ver_2,BidirectionalLSTM,2,True,6.6,4.77,1.0199999809265137,23.33,19.35,1.7999999523162842,15.87,12.63,1.2100000381469727,27.71,24.0,1.940000057220459,365
2,BidirectionalLSTM_seq_true_ver_3,BidirectionalLSTM,3,True,7.42,5.45,1.0399999618530273,61.08,49.98,3.07,18.52,13.14,1.09,48.69,34.98,2.68,365
3,BidirectionalLSTM_seq_true_ver_4,BidirectionalLSTM,4,True,8.78,6.09,0.9800000190734863,25.54,20.44,1.5299999713897705,20.31,16.8,1.340000033378601,21.74,16.43,1.0299999713897705,365
4,BidirectionalLSTM_seq_true_ver_5,BidirectionalLSTM,5,True,7.79,5.6,1.0,21.05,16.58,1.3200000524520874,24.88,21.74,1.3200000524520874,20.04,14.17,1.309999942779541,365
5,BidirectionalLSTM_seq_true_ver_6,BidirectionalLSTM,6,True,7.74,5.5,1.0199999809265137,23.32,20.6,1.8200000524520874,16.05,12.96,1.1100000143051147,24.4,22.26,1.9900000095367432,365
6,BidirectionalLSTM_seq_true_ver_7,BidirectionalLSTM,7,True,7.36,5.34,0.9800000190734863,35.04,22.69,0.97,32.94,27.62,0.9800000190734863,22.83,16.25,1.2599999904632568,365
7,BidirectionalLSTM_seq_true_ver_8,BidirectionalLSTM,8,True,8.46,5.93,0.9900000095367432,34.0,23.46,0.95,17.81,14.72,1.2,41.19,29.99,1.44,365
8,BidirectionalLSTM_seq_true_ver_9,BidirectionalLSTM,9,True,9.89,6.17,0.949999988079071,20.71,14.15,0.89,24.48,21.05,1.14,23.11,16.82,1.08,365
9,BidirectionalLSTM_seq_true_ver_10,BidirectionalLSTM,10,True,8.89,6.51,1.0700000524520874,26.52,22.54,1.8899999856948853,15.84,13.45,1.2599999904632568,25.82,21.74,1.9700000286102295,365
10,BidirectionalLSTM_seq_true_ver_11,BidirectionalLSTM,11,True,11.15,7.09,1.0099999904632568,10.51,7.77,1.1699999570846558,14.0,10.88,1.059999942779541,12.43,9.81,1.3200000524520874,365
11,BidirectionalLSTM_seq_true_ver_12,BidirectionalLSTM,12,True,9.83,6.27,1.0099999904632568,23.68,18.2,1.4700000286102295,24.36,20.2,1.5,16.04,11.93,1.0299999713897705,365
12,CNNLSTM_seq_true_ver_1,CNNLSTM,1,True,6.88,4.28,0.86,17.75,11.98,0.6299999952316284,26.6,21.3,0.3799999952316284,16.48,11.03,0.6399999856948853,365
13,CNNLSTM_seq_true_ver_2,CNNLSTM,2,True,1.72,0.98,1.01,21.49,18.36,1.6699999570846558,17.92,14.45,1.100000023841858,19.28,15.71,1.4500000476837158,365
14,CNNLSTM_seq_true_ver_3,CNNLSTM,3,True,1.84,1.27,0.98,10.31,6.27,0.949999988079071,19.97,15.07,0.6200000047683716,20.19,15.8,0.9300000071525574,365
15,CNNLSTM_seq_true_ver_4,CNNLSTM,4,True,1.07,0.62,1.01,1.26,0.8,1.01,12.6,9.27,0.8999999761581421,15.15,11.19,1.0499999523162842,365
16,CNNLSTM_seq_true_ver_5,CNNLSTM,5,True,9.51,7.02,1.0199999809265137,18.31,13.42,0.9100000262260437,24.89,18.58,0.5099999904632568,17.61,12.69,0.9599999785423279,365
17,CNNLSTM_seq_true_ver_6,CNNLSTM,6,True,11.37,7.82,1.0099999904632568,23.12,20.04,1.7400000095367432,19.16,15.53,1.2100000381469727,21.46,18.34,1.75,365
18,CNNLSTM_seq_true_ver_7,CNNLSTM,7,True,2.62,1.25,0.9700000286102295,7.44,4.82,1.0399999618530273,11.36,8.99,0.949999988079071,13.14,10.6,1.2599999904632568,365
19,CNNLSTM_seq_true_ver_8,CNNLSTM,8,True,10.08,7.0,1.01,9.99,6.95,1.01,10.6,8.4,0.9800000190734863,8.5,6.38,1.1100000143051147,365
20,CNNLSTM_seq_true_ver_9,CNNLSTM,9,True,11.95,8.38,1.04,23.56,18.86,1.45,28.12,23.94,1.03,23.33,19.29,1.51,365
21,CNNLSTM_seq_true_ver_10,CNNLSTM,10,True,9.61,6.77,1.0,18.8,15.77,1.4500000476837158,20.19,17.38,1.2200000286102295,20.03,17.29,1.4600000381469727,365
